RowID,County-Parish,State,Indicator,Date,Year,IndicatorValue
Miami-Dade County2014,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2014 12:00:00 AM,2014,99.6
Jefferson County2014,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2014 12:00:00 AM,2014,89.7
Hillsborough County2014,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2014 12:00:00 AM,2014,100
Fulton County2014,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2014 12:00:00 AM,2014,99.7
East Baton Rouge Parish2014,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2014 12:00:00 AM,2014,99.1
Davidson County2014,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2014 12:00:00 AM,2014,99.6
Benchmark Average2014,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2014 12:00:00 AM,2014,98.5
Orleans Parish2015,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2015 12:00:00 AM,2015,100
Davidson County2015,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2015 12:00:00 AM,2015,100
East Baton Rouge Parish2015,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2015 12:00:00 AM,2015,99.1
Fulton County2015,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2015 12:00:00 AM,2015,98.6
Hillsborough County2015,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2015 12:00:00 AM,2015,98.2
Jefferson County2015,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2015 12:00:00 AM,2015,98.9
Miami-Dade County2015,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2015 12:00:00 AM,2015,100
Oklahoma County2015,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2015 12:00:00 AM,2015,100
Shelby County2015,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2015 12:00:00 AM,2015,99.6
Wake County2015,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2015 12:00:00 AM,2015,99.3
Benchmark Average2015,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2015 12:00:00 AM,2015,99.3
