RowID,Date,Year,Location,IndicatorName,IndicatorValue
"Orleans Parish, LALife expectancy, male2004",01/01/2004 12:00:00 AM,2004,"Orleans Parish, LA","Life expectancy, male",67.5
"Davidson County, TNLife expectancy, male2004",01/01/2004 12:00:00 AM,2004,"Davidson County, TN","Life expectancy, male",72.1
"East Baton Rouge Parish, LALife expectancy, male2004",01/01/2004 12:00:00 AM,2004,"East Baton Rouge Parish, LA","Life expectancy, male",71.8
"Fulton County, GALife expectancy, male2004",01/01/2004 12:00:00 AM,2004,"Fulton County, GA","Life expectancy, male",72.4
"Hillsborough County, FLLife expectancy, male2004",01/01/2004 12:00:00 AM,2004,"Hillsborough County, FL","Life expectancy, male",73.8
"Jefferson County, KYLife expectancy, male2004",01/01/2004 12:00:00 AM,2004,"Jefferson County, KY","Life expectancy, male",72.9
"Miami-Dade County, FLLife expectancy, male2004",01/01/2004 12:00:00 AM,2004,"Miami-Dade County, FL","Life expectancy, male",75.5
"Oklahoma County, OKLife expectancy, male2004",01/01/2004 12:00:00 AM,2004,"Oklahoma County, OK","Life expectancy, male",72.4
"Shelby County, TNLife expectancy, male2004",01/01/2004 12:00:00 AM,2004,"Shelby County, TN","Life expectancy, male",70.8
"Wake County, NCLife expectancy, male2004",01/01/2004 12:00:00 AM,2004,"Wake County, NC","Life expectancy, male",76.7
"Benchmark AverageLife expectancy, male2004",01/01/2004 12:00:00 AM,2004,Benchmark Average,"Life expectancy, male",73.2
"Orleans Parish, LALife expectancy, female2004",01/01/2004 12:00:00 AM,2004,"Orleans Parish, LA","Life expectancy, female",75.9
"Davidson County, TNLife expectancy, female2004",01/01/2004 12:00:00 AM,2004,"Davidson County, TN","Life expectancy, female",77.9
"East Baton Rouge Parish, LALife expectancy, female2004",01/01/2004 12:00:00 AM,2004,"East Baton Rouge Parish, LA","Life expectancy, female",77.4
"Fulton County, GALife expectancy, female2004",01/01/2004 12:00:00 AM,2004,"Fulton County, GA","Life expectancy, female",78
