RowID,Date,Year,Location,IndicatorName,IndicatorValue,IndicatorID,IndicatorTable
"Raleigh, NC_respop72013_2013",01/01/2013 12:00:00 AM,2013,"Raleigh, NC",Population,975024,respop72013,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Raleigh, NC_respop72010_2010",01/01/2010 12:00:00 AM,2010,"Raleigh, NC",Population,906908,respop72010,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Raleigh, NC_Calculation_2011",01/01/2011 12:00:00 AM,2011,"Raleigh, NC",Population growth,2.47235662272248,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Oklahoma City, OK_respop72012_2012",01/01/2012 12:00:00 AM,2012,"Oklahoma City, OK",Population,742635,respop72012,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Oklahoma City, OK_Calculation_2012",01/01/2012 12:00:00 AM,2012,"Oklahoma City, OK",Population growth,1.71535561031131,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Oklahoma City, OK_respop72014_2014",01/01/2014 12:00:00 AM,2014,"Oklahoma City, OK",Population,766215,respop72014,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Oklahoma City, OK_Calculation_2014",01/01/2014 12:00:00 AM,2014,"Oklahoma City, OK",Population growth,1.39571875479708,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Oklahoma City, OK_respop72011_2011",01/01/2011 12:00:00 AM,2011,"Oklahoma City, OK",Population,730111,respop72011,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Oklahoma City, OK_Calculation_2013",01/01/2013 12:00:00 AM,2013,"Oklahoma City, OK",Population growth,1.75496711035704,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Oklahoma City, OK_respop72013_2013",01/01/2013 12:00:00 AM,2013,"Oklahoma City, OK",Population,755668,respop72013,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
