RowID,Date,Year,Location,IndicatorName,IndicatorValue,IndicatorID,IndicatorID_old,IndicatorTable
"Memphis, TN_B19013B_001E_2011",01/01/2011 12:00:00 AM,2011,"Memphis, TN",Median household income in the past 12 months (Black or African American Alone Householder),28093,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Nashville, TN_B19013B_001E_2011",01/01/2011 12:00:00 AM,2011,"Nashville, TN",Median household income in the past 12 months (Black or African American Alone Householder),29359,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Miami, FL_B19013_001E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Median household income in the past 12 months (All householders),70911,B19013_001E,HD01_VD01,B19013. Median Household Income
"Atlanta, GA_B19013_001E_2007",01/01/2007 12:00:00 AM,2007,"Atlanta, GA",Median household income in the past 12 months (All householders),79045,B19013_001E,HD01_VD01,B19013. Median Household Income
"Louisville, KY_B19013_001E_2007",01/01/2007 12:00:00 AM,2007,"Louisville, KY",Median household income in the past 12 months (All householders),46677,B19013_001E,HD01_VD01,B19013. Median Household Income
"Baton Rouge, LA_B19013_001E_2007",01/01/2007 12:00:00 AM,2007,"Baton Rouge, LA",Median household income in the past 12 months (All householders),47114,B19013_001E,HD01_VD01,B19013. Median Household Income
"Raleigh, NC_B19013_001E_2007",01/01/2007 12:00:00 AM,2007,"Raleigh, NC",Median household income in the past 12 months (All householders),63830,B19013_001E,HD01_VD01,B19013. Median Household Income
"Oklahoma City, OK_B19013_001E_2007",01/01/2007 12:00:00 AM,2007,"Oklahoma City, OK",Median household income in the past 12 months (All householders),48970,B19013_001E,HD01_VD01,B19013. Median Household Income
"Memphis, TN_B19013_001E_2007",01/01/2007 12:00:00 AM,2007,"Memphis, TN",Median household income in the past 12 months (All householders),48758,B19013_001E,HD01_VD01,B19013. Median Household Income
"Nashville, TN_B19013_001E_2007",01/01/2007 12:00:00 AM,2007,"Nashville, TN",Median household income in the past 12 months (All householders),52031,B19013_001E,HD01_VD01,B19013. Median Household Income
"Miami, FL_B19013_001E_2008",01/01/2008 12:00:00 AM,2008,"Miami, FL",Median household income in the past 12 months (All householders),28333,B19013_001E,HD01_VD01,B19013. Median Household Income
Tampa. FL_B19013_001E_2008,01/01/2008 12:00:00 AM,2008,Tampa. FL,Median household income in the past 12 months (All householders),45224,B19013_001E,HD01_VD01,B19013. Median Household Income
