RowID,Date,Year,IndicatorName,IndicatorValue
Inmates in Orleans Parish Prison (daily)6-19-2011,06/19/2011,2011,Inmates in Orleans Parish Prison (daily),3196
Inmates in Orleans Parish Prison (daily)6-20-2011,06/20/2011,2011,Inmates in Orleans Parish Prison (daily),3269
Inmates in Orleans Parish Prison (daily)6-21-2011,06/21/2011,2011,Inmates in Orleans Parish Prison (daily),3281
Inmates in Orleans Parish Prison (daily)6-22-2011,06/22/2011,2011,Inmates in Orleans Parish Prison (daily),3183
Inmates in Orleans Parish Prison (daily)6-23-2011,06/23/2011,2011,Inmates in Orleans Parish Prison (daily),3164
Inmates in Orleans Parish Prison (daily)6-24-2011,06/24/2011,2011,Inmates in Orleans Parish Prison (daily),3137
Inmates in Orleans Parish Prison (daily)6-25-2011,06/25/2011,2011,Inmates in Orleans Parish Prison (daily),3176
Inmates in Orleans Parish Prison (daily)6-26-2011,06/26/2011,2011,Inmates in Orleans Parish Prison (daily),3195
Inmates in Orleans Parish Prison (daily)6-27-2011,06/27/2011,2011,Inmates in Orleans Parish Prison (daily),3221
Inmates in Orleans Parish Prison (daily)6-28-2011,06/28/2011,2011,Inmates in Orleans Parish Prison (daily),3196
Inmates in Orleans Parish Prison (daily)6-29-2011,06/29/2011,2011,Inmates in Orleans Parish Prison (daily),3088
Inmates in Orleans Parish Prison (daily)6-30-2011,06/30/2011,2011,Inmates in Orleans Parish Prison (daily),3102
Inmates in Orleans Parish Prison (daily)7-1-2011,07/01/2011,2011,Inmates in Orleans Parish Prison (daily),3086
Inmates in Orleans Parish Prison (daily)7-2-2011,07/02/2011,2011,Inmates in Orleans Parish Prison (daily),3099
Inmates in Orleans Parish Prison (daily)7-3-2011,07/03/2011,2011,Inmates in Orleans Parish Prison (daily),3105
Inmates in Orleans Parish Prison (daily)7-4-2011,07/04/2011,2011,Inmates in Orleans Parish Prison (daily),3136
Inmates in Orleans Parish Prison (daily)7-5-2011,07/05/2011,2011,Inmates in Orleans Parish Prison (daily),3175
Inmates in Orleans Parish Prison (daily)7-6-2011,07/06/2011,2011,Inmates in Orleans Parish Prison (daily),3151
Inmates in Orleans Parish Prison (daily)7-7-2011,07/07/2011,2011,Inmates in Orleans Parish Prison (daily),3102
Inmates in Orleans Parish Prison (daily)7-8-2011,07/08/2011,2011,Inmates in Orleans Parish Prison (daily),3114
Inmates in Orleans Parish Prison (daily)7-9-2011,07/09/2011,2011,Inmates in Orleans Parish Prison (daily),3095
Inmates in Orleans Parish Prison (daily)7-10-2011,07/10/2011,2011,Inmates in Orleans Parish Prison (daily),3119
Inmates in Orleans Parish Prison (daily)7-11-2011,07/11/2011,2011,Inmates in Orleans Parish Prison (daily),3151
Inmates in Orleans Parish Prison (daily)7-12-2011,07/12/2011,2011,Inmates in Orleans Parish Prison (daily),3159
Inmates in Orleans Parish Prison (daily)7-13-2011,07/13/2011,2011,Inmates in Orleans Parish Prison (daily),3132
Inmates in Orleans Parish Prison (daily)7-14-2011,07/14/2011,2011,Inmates in Orleans Parish Prison (daily),3152
Inmates in Orleans Parish Prison (daily)7-15-2011,07/15/2011,2011,Inmates in Orleans Parish Prison (daily),3117
Inmates in Orleans Parish Prison (daily)7-16-2011,07/16/2011,2011,Inmates in Orleans Parish Prison (daily),3116
